test,Tool,rep_1,tool_2,rep_2,Fractional distance
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.03305785123966942
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.128099173553719
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16115702479338842
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.128099173553719
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15289256198347106
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.15702479338842976
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.128099173553719
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.128099173553719
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.1446280991735537
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.1115702479338843
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.16942148760330578
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.1322314049586777
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.1859504132231405
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.15289256198347106
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.1115702479338843
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.16115702479338842
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.1322314049586777
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.14049586776859505
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.1487603305785124
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.07024793388429752
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.049586776859504134
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12396694214876033
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15289256198347106
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.24793388429752067
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1859504132231405
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.19834710743801653
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.13636363636363635
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.2190082644628099
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.2603305785123967
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.09504132231404959
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.15702479338842976
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.21487603305785125
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.34710743801652894
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.34297520661157027
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.2231404958677686
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.2727272727272727
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.32644628099173556
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.2975206611570248
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.36363636363636365
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.10330578512396695
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.128099173553719
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.05371900826446281
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.17768595041322313
