test,Tool,rep_1,tool_2,rep_2,Fractional distance
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15384615384615385
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.07692307692307693
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.07912087912087912
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.03956043956043956
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14945054945054945
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14945054945054945
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11428571428571428
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.0945054945054945
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.0945054945054945
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.08571428571428572
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.07032967032967033
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.07692307692307693
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.26153846153846155
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12747252747252746
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17362637362637362
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1824175824175824
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17582417582417584
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15164835164835164
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.13626373626373625
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14945054945054945
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.08351648351648351
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.07472527472527472
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12747252747252746
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15384615384615385
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17362637362637362
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1010989010989011
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.07692307692307693
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11428571428571428
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13626373626373625
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.09010989010989011
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12967032967032968
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.0989010989010989
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13186813186813187
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14285714285714285
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.09010989010989011
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.08351648351648351
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13626373626373625
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12967032967032968
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.02857142857142857
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11208791208791209
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12087912087912088
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.10989010989010989
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.13626373626373625
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.2681318681318681
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.13846153846153847
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12087912087912088
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.2021978021978022
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14945054945054945
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.11868131868131868
